## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[capture_targets_interval_list] TARGET_INTERVALS=[primary_targets_interval_list] INPUT=HN51.dedup_reads.bam OUTPUT=hs_metrics_HN51_r.txt REFERENCE_SEQUENCE=hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 12 11:52:59 BST 2018

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	3095677412	64190747	63564965	0.990251	237673672	237673672	210294948	1	0.884805	210256655	0.999818	23188044386	20547311670	11810340707	8456743523	2920960156	8583651820	0.874032	0.125968	0.582735	183.988211	135.037466	113	6711	0.508852	0.369829	24.563009	0.013801	0.113883	0.11759	0.005305	0.013763	0.749705	2.288771	0.978889	0.974317	0.955678	0.939374	0.919366	0.889354	0.847831	0.570973	395517554	5.591672	5.708306	5.821949	5.959516	6.099477	6.946415	0.001319	14.862372	0.972085	16			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1341936	0
1	290617	0
2	208335	0
3	176231	0
4	159903	0
5	144835	1383696
6	135076	1962201
7	126862	10167120
8	119220	9411426
9	114337	5401573
10	109598	6242457
11	108486	2754793
12	104373	2368477
13	101400	4341979
14	101326	2442764
15	100796	8139334
16	101611	7375032
17	101573	9525902
18	103053	21538261
19	104101	12915349
20	107900	20184500
21	110608	8721771
22	114995	15354228
23	119521	27471820
24	124139	37509345
25	128658	47672296
26	133533	61786906
27	138203	67409648
28	143728	46420233
29	150561	99777878
30	157981	147180751
31	164875	229626390
32	171217	180145241
33	179456	293580552
34	187913	573824131
35	194795	964296636
36	202296	421343195
37	208498	663224605
38	217135	499165846
39	223501	756983088
40	230995	912031337
41	237598	1310660673
42	246150	0
43	254879	0
44	261678	0
45	268588	0
46	275428	0
47	281654	0
48	288203	0
49	294282	0
50	300599	0
51	306447	0
52	311205	0
53	316192	0
54	320901	0
55	324259	0
56	328648	0
57	331263	0
58	333252	0
59	337039	0
60	340516	0
61	341827	0
62	345625	0
63	350171	0
64	353143	0
65	355202	0
66	356382	0
67	359053	0
68	358981	0
69	360547	0
70	362548	0
71	363078	0
72	362781	0
73	362708	0
74	363434	0
75	364430	0
76	364245	0
77	365514	0
78	366362	0
79	366707	0
80	365380	0
81	367793	0
82	366428	0
83	368411	0
84	367741	0
85	366946	0
86	366629	0
87	366987	0
88	366305	0
89	365052	0
90	362675	0
91	361112	0
92	359587	0
93	358271	0
94	358179	0
95	355406	0
96	352947	0
97	351909	0
98	348906	0
99	348724	0
100	346119	0
101	345286	0
102	342481	0
103	340728	0
104	338893	0
105	337692	0
106	336621	0
107	332491	0
108	331386	0
109	329951	0
110	328157	0
111	325614	0
112	323101	0
113	322073	0
114	319832	0
115	318397	0
116	316655	0
117	314375	0
118	311545	0
119	308995	0
120	307591	0
121	305334	0
122	302295	0
123	300404	0
124	298444	0
125	297344	0
126	295056	0
127	292322	0
128	290249	0
129	288171	0
130	286752	0
131	284029	0
132	283055	0
133	279707	0
134	278737	0
135	275088	0
136	273328	0
137	270550	0
138	268527	0
139	266679	0
140	264300	0
141	261156	0
142	259713	0
143	256036	0
144	253320	0
145	251109	0
146	248941	0
147	245552	0
148	244007	0
149	242259	0
150	240104	0
151	237337	0
152	235957	0
153	231797	0
154	230255	0
155	228413	0
156	226828	0
157	223271	0
158	221694	0
159	219769	0
160	218545	0
161	216873	0
162	215267	0
163	213384	0
164	211731	0
165	209290	0
166	207167	0
167	204785	0
168	202716	0
169	200046	0
170	198446	0
171	197069	0
172	194786	0
173	192889	0
174	190792	0
175	187694	0
176	186414	0
177	184701	0
178	183312	0
179	181080	0
180	179415	0
181	177389	0
182	175662	0
183	173964	0
184	172172	0
185	170707	0
186	168484	0
187	166919	0
188	165517	0
189	162613	0
190	160442	0
191	159019	0
192	157291	0
193	155112	0
194	153239	0
195	151775	0
196	149964	0
197	147210	0
198	146897	0
199	144893	0
200	11922338	0

