## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[capture_targets_interval_list] TARGET_INTERVALS=[primary_targets_interval_list] INPUT=HN60.dedup_reads.bam OUTPUT=hs_metrics_HN60_t.txt REFERENCE_SEQUENCE=hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 12 13:08:43 BST 2018

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	3095677412	64190747	63564965	0.990251	249117458	249117458	214286267	1	0.860182	214243295	0.999799	24194834902	20857165564	12981593261	8479211186	2734030455	9122609166	0.886999	0.113001	0.604898	202.23465	143.516309	117	10853	0.535972	0.376646	25.875491	0.014205	0.13795	0.10989	0.006147	0.018652	0.728312	2.278037	0.978323	0.973788	0.955983	0.940865	0.923116	0.897444	0.861705	0.595229	343010420	5.322881	5.45404	5.578953	5.725726	5.881243	6.840575	0.001185	11.805937	0.971591	15			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1377911	0
1	288235	0
2	205624	0
3	170862	0
4	149945	0
5	137284	1652619
6	127229	2326644
7	118262	11650831
8	113646	10846294
9	108919	6243145
10	104443	7406724
11	101569	3157500
12	99028	2780494
13	95417	4863343
14	93320	2846748
15	92213	9546229
16	92655	8783217
17	92470	11121880
18	94510	24940968
19	95380	14858658
20	97881	23233857
21	100143	10172212
22	102457	17661606
23	106131	32320756
24	110223	43555537
25	113539	55095307
26	117376	70914944
27	122117	78182315
28	126307	53154635
29	132007	112469823
30	137188	169285603
31	142191	257679573
32	147704	201614284
33	153769	325214259
34	159599	605889476
35	165724	976510755
36	171887	429795080
37	178187	677456913
38	184996	529172301
39	190603	762729364
40	196849	918939787
41	204075	1232870781
42	211370	0
43	217521	0
44	224491	0
45	230731	0
46	237904	0
47	243325	0
48	250067	0
49	255440	0
50	260889	0
51	265911	0
52	272281	0
53	276406	0
54	281802	0
55	287228	0
56	292423	0
57	297597	0
58	303931	0
59	308247	0
60	312384	0
61	315775	0
62	320032	0
63	323834	0
64	327776	0
65	331241	0
66	333734	0
67	338356	0
68	340060	0
69	343787	0
70	345070	0
71	347532	0
72	350534	0
73	351974	0
74	354136	0
75	353928	0
76	356299	0
77	356439	0
78	359430	0
79	360852	0
80	360831	0
81	363020	0
82	363032	0
83	364632	0
84	364197	0
85	366397	0
86	365959	0
87	365504	0
88	364531	0
89	365154	0
90	365320	0
91	365055	0
92	364207	0
93	364465	0
94	362265	0
95	361680	0
96	361235	0
97	360639	0
98	360583	0
99	359910	0
100	356822	0
101	355633	0
102	353115	0
103	351803	0
104	350785	0
105	348536	0
106	347235	0
107	344863	0
108	342324	0
109	341005	0
110	338046	0
111	337712	0
112	336521	0
113	332713	0
114	331434	0
115	328606	0
116	327043	0
117	323837	0
118	321828	0
119	319508	0
120	316937	0
121	314298	0
122	312592	0
123	310251	0
124	307364	0
125	304583	0
126	302492	0
127	299047	0
128	297949	0
129	294943	0
130	292178	0
131	288810	0
132	286677	0
133	283757	0
134	280871	0
135	278699	0
136	278005	0
137	274687	0
138	273078	0
139	270463	0
140	268112	0
141	267407	0
142	265588	0
143	261440	0
144	259284	0
145	255270	0
146	253878	0
147	251119	0
148	249230	0
149	246192	0
150	244405	0
151	241274	0
152	238086	0
153	236028	0
154	234514	0
155	231870	0
156	229274	0
157	227091	0
158	223887	0
159	222604	0
160	219506	0
161	218194	0
162	214631	0
163	212225	0
164	211577	0
165	208495	0
166	206927	0
167	204150	0
168	202120	0
169	199288	0
170	196903	0
171	195456	0
172	192421	0
173	191075	0
174	188913	0
175	186489	0
176	184736	0
177	182873	0
178	180692	0
179	179019	0
180	176422	0
181	175854	0
182	173104	0
183	171386	0
184	169551	0
185	167687	0
186	165771	0
187	162769	0
188	161042	0
189	158962	0
190	156939	0
191	155760	0
192	153971	0
193	152232	0
194	150788	0
195	148883	0
196	147202	0
197	146189	0
198	143733	0
199	142135	0
200	13116064	0

